,Entity,Code,Year,Budget
11,United States,USA,1970,20231900967.71281
12,United States,USA,1971,17019923719.469322
13,United States,USA,1972,16226362318.09382
14,United States,USA,1973,16016951127.505522
15,United States,USA,1974,13330551485.867496
16,United States,USA,1975,12847750181.485909
17,United States,USA,1976,13212041458.41361
18,United States,USA,1977,13445146345.613829
19,United States,USA,1978,13793091635.43535
20,United States,USA,1979,14263654474.256062
21,United States,USA,1980,14799479046.360504
22,United States,USA,1981,14189559983.832016
23,United States,USA,1982,14600486118.533133
24,United States,USA,1983,15941188446.951216
25,United States,USA,1984,16246933098.423382
26,United States,USA,1985,15964110571.80761
27,United States,USA,1986,16097974201.470297
28,United States,USA,1987,22028358815.314983
29,United States,USA,1988,17701904047.450397
30,United States,USA,1989,20413492052.600872
31,United States,USA,1990,22135699407.053017
32,United States,USA,1991,24509582073.8191
33,United States,USA,1992,24426630775.734016
34,United States,USA,1993,23854358737.158543
35,United States,USA,1994,23769057845.87355
36,United States,USA,1995,22130495147.679264
37,United States,USA,1996,21772696302.782757
38,United States,USA,1997,21121755951.58051
39,United States,USA,1998,20768617024.898808
40,United States,USA,1999,20514049723.94413
41,United States,USA,2000,20023113217.96353
42,United States,USA,2001,20499398661.29391
43,United States,USA,2002,21080477824.164017
44,United States,USA,2003,21395081125.99095
45,United States,USA,2004,20877934978.19538
46,United States,USA,2005,21338934268.908867
47,United States,USA,2006,21265571315.02021
48,United States,USA,2007,20236923370.250057
49,United States,USA,2008,20958210045.107285
50,United States,USA,2009,22609714037.587257
51,United States,USA,2010,22346619718.07152
52,United States,USA,2011,21584155389.20094
53,United States,USA,2012,20404142692.05258
54,United States,USA,2013,19033095047.85342
55,United States,USA,2014,19520325699.25035
56,United States,USA,2015,19682957069.547146
57,United States,USA,2016,20883596274.613323
58,United States,USA,2017,20903931442.55882
59,United States,USA,2018,21598138373.12535
