movieId,movieTitle,movieYear,movieURL,movieRank,critic_score,audience_score,average
4ecba525-0751-3a00-8b8e-c7a10ff0e385,Star Wars: Episode V - The Empire Strikes Back,1980,https://www.rottentomatoes.com/m/star_wars_episode_v_the_empire_strikes_back,138,95%,97%,0.96
90e35ce9-3f7e-3eb4-b2e5-7df6c74430a4,Aliens,1986,https://www.rottentomatoes.com/m/1000617-aliens,137,98%,94%,0.96
fcfec707-2884-3f1c-9030-0cc110f96628,Stalker,1979,https://www.rottentomatoes.com/m/1043378-stalker,124,100%,92%,0.96
e2bff218-467b-3595-ae11-c62d690641ad,Star Wars: Episode IV - A New Hope,1977,https://www.rottentomatoes.com/m/star_wars_episode_iv_a_new_hope,145,93%,96%,0.945
8e497f00-f9c0-3e6c-8526-969077b790df,Metropolis,1927,https://www.rottentomatoes.com/m/1013775-metropolis,146,97%,92%,0.945
f98207b6-9ad5-3b3f-9e41-68e8999fcf5e,The Terminator,1984,https://www.rottentomatoes.com/m/terminator,135,100%,89%,0.945
db357343-dac7-3aa1-9e13-c9b78c02b1f5,Back to the Future,1985,https://www.rottentomatoes.com/m/back_to_the_future,148,93%,95%,0.94
6efec895-e7b3-385d-86db-231bd7082519,Brazil,1985,https://www.rottentomatoes.com/m/1003033-brazil,127,98%,90%,0.94
6f73d4fd-3cd3-3bea-a403-81c5a6cb043f,Alien,1979,https://www.rottentomatoes.com/m/alien,141,93%,94%,0.935
88c36a61-3147-3a67-9b2e-a2901e59ed6c,Terminator 2: Judgment Day,1991,https://www.rottentomatoes.com/m/terminator_2_judgment_day,142,91%,95%,0.93
7bceb610-fd4e-3940-ab5b-589b5938c0fe,The Iron Giant,1999,https://www.rottentomatoes.com/m/iron_giant,105,96%,90%,0.93
94813ccb-6c7d-3e0a-a635-81d828ab78ab,Star Trek,2009,https://www.rottentomatoes.com/m/star_trek_11,97,94%,91%,0.925
4c42565e-9037-38bb-974f-d24395df2f1e,WALL-E,2008,https://www.rottentomatoes.com/m/wall_e,117,95%,90%,0.925
584f02d1-f999-3880-9016-84ff2ed21795,Ghost in the Shell,1995,https://www.rottentomatoes.com/m/ghost_in_the_shell,126,95%,89%,0.92
