Longitude,Latitude,Company Name,Location,Detail,Status Rocket,Rocket,Status Mission,Year
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon Heavy | STP-2,StatusActive,90.0 ,Success,2019
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon Heavy | ArabSat 6A,StatusActive,90.0 ,Success,2019
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 5 | SpaceX Demo-1,StatusActive,50.0 ,Success,2019
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 5 | Es'hail 2,StatusActive,50.0 ,Success,2018
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 5 | Bangabandhu-1,StatusActive,50.0 ,Success,2018
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon Heavy | Test Flight,StatusActive,90.0 ,Success,2018
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 4 | Koreasat 5A,StatusRetired,62.0 ,Success,2017
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | SES-11 / EchoStar 105,StatusRetired,62.0 ,Success,2017
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 4 | OTV-5,StatusRetired,62.0 ,Success,2017
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 4 | CRS-12,StatusRetired,62.0 ,Success,2017
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | Intelsat 35e,StatusRetired,62.0 ,Success,2017
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | BulgariaSat-1,StatusRetired,62.0 ,Success,2017
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | CRS-11,StatusRetired,62.0 ,Success,2017
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | Inmarsat-5 F4,StatusRetired,62.0 ,Success,2017
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | NROL-76,StatusRetired,62.0 ,Success,2017
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | SES-10,StatusRetired,62.0 ,Success,2017
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | Echostar 23,StatusRetired,62.0 ,Success,2017
-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | CRS-10,StatusRetired,62.0 ,Success,2017
-80.6508,28.5721,NASA,Kennedy Space Center,Space Shuttle Atlantis | STS-135,StatusRetired,450.0 ,Success,2011
