,Longitude,Latitude,Company Name,Location,Detail,Status Rocket, Rocket,Status Mission,Year,Rocket
0,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon Heavy | STP-2,StatusActive,90,Success,2019,90
1,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon Heavy | ArabSat 6A,StatusActive,90,Success,2019,90
2,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 5 | SpaceX Demo-1,StatusActive,50,Success,2019,50
3,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 5 | Es'hail 2,StatusActive,50,Success,2018,50
4,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 5 | Bangabandhu-1,StatusActive,50,Success,2018,50
5,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon Heavy | Test Flight,StatusActive,90,Success,2018,90
6,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 4 | Koreasat 5A,StatusRetired,62,Success,2017,62
7,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | SES-11 / EchoStar 105,StatusRetired,62,Success,2017,62
8,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 4 | OTV-5,StatusRetired,62,Success,2017,62
9,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 4 | CRS-12,StatusRetired,62,Success,2017,62
10,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | Intelsat 35e,StatusRetired,62,Success,2017,62
11,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | BulgariaSat-1,StatusRetired,62,Success,2017,62
12,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | CRS-11,StatusRetired,62,Success,2017,62
13,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | Inmarsat-5 F4,StatusRetired,62,Success,2017,62
14,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | NROL-76,StatusRetired,62,Success,2017,62
15,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | SES-10,StatusRetired,62,Success,2017,62
16,-80.6508,28.5721,SpaceX,Kennedy Space Center,Falcon 9 Block 3 | Echostar 23,StatusRetired,62,Success,2017,62
